DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
438,2009-07-08,2009,7,July,8,Wednesday,2
439,2009-07-09,2009,7,July,9,Thursday,2
440,2009-07-10,2009,7,July,10,Friday,2
441,2009-07-11,2009,7,July,11,Saturday,2
442,2009-07-12,2009,7,July,12,Sunday,2
443,2009-07-13,2009,7,July,13,Monday,2
444,2009-07-14,2009,7,July,14,Tuesday,2
445,2009-07-15,2009,7,July,15,Wednesday,2
446,2009-07-16,2009,7,July,16,Thursday,2
447,2009-07-17,2009,7,July,17,Friday,2
448,2009-07-18,2009,7,July,18,Saturday,2
449,2009-07-19,2009,7,July,19,Sunday,2
450,2009-07-20,2009,7,July,20,Monday,2
451,2009-07-21,2009,7,July,21,Tuesday,2
452,2009-07-22,2009,7,July,22,Wednesday,2
453,2009-07-23,2009,7,July,23,Thursday,2
454,2009-07-24,2009,7,July,24,Friday,2
455,2009-07-25,2009,7,July,25,Saturday,2
456,2009-07-26,2009,7,July,26,Sunday,2
457,2009-07-27,2009,7,July,27,Monday,2
458,2009-07-28,2009,7,July,28,Tuesday,2
459,2009-07-29,2009,7,July,29,Wednesday,2
460,2009-07-30,2009,7,July,30,Thursday,2
461,2009-07-31,2009,7,July,31,Friday,2
462,2009-08-01,2009,8,August,1,Saturday,2
463,2009-08-02,2009,8,August,2,Sunday,2
464,2009-08-03,2009,8,August,3,Monday,2
465,2009-08-04,2009,8,August,4,Tuesday,2
466,2009-08-05,2009,8,August,5,Wednesday,2
467,2009-08-06,2009,8,August,6,Thursday,2
468,2009-08-07,2009,8,August,7,Friday,2
469,2009-08-08,2009,8,August,8,Saturday,2
470,2009-08-09,2009,8,August,9,Sunday,2
471,2009-08-10,2009,8,August,10,Monday,2
472,2009-08-11,2009,8,August,11,Tuesday,2
473,2009-08-12,2009,8,August,12,Wednesday,2
474,2009-08-13,2009,8,August,13,Thursday,2
475,2009-08-14,2009,8,August,14,Friday,2
476,2009-08-15,2009,8,August,15,Saturday,2
477,2009-08-16,2009,8,August,16,Sunday,2
478,2009-08-17,2009,8,August,17,Monday,2
479,2009-08-18,2009,8,August,18,Tuesday,2
480,2009-08-19,2009,8,August,19,Wednesday,2
481,2009-08-20,2009,8,August,20,Thursday,2
482,2009-08-21,2009,8,August,21,Friday,2
483,2009-08-22,2009,8,August,22,Saturday,2
484,2009-08-23,2009,8,August,23,Sunday,2
485,2009-08-25,2009,8,August,25,Tuesday,2
486,2009-08-26,2009,8,August,26,Wednesday,2
487,2009-08-27,2009,8,August,27,Thursday,2
488,2009-08-28,2009,8,August,28,Friday,2
489,2009-08-29,2009,8,August,29,Saturday,2
490,2009-08-30,2009,8,August,30,Sunday,2
491,2009-08-31,2009,8,August,31,Monday,2
492,2009-09-01,2009,9,September,1,Tuesday,2
493,2009-09-02,2009,9,September,2,Wednesday,2
494,2009-09-03,2009,9,September,3,Thursday,2
495,2009-09-04,2009,9,September,4,Friday,2
496,2009-09-05,2009,9,September,5,Saturday,2
497,2009-09-07,2009,9,September,7,Monday,2
498,2009-09-08,2009,9,September,8,Tuesday,2
499,2009-09-09,2009,9,September,9,Wednesday,2
500,2009-09-10,2009,9,September,10,Thursday,2
501,2009-09-11,2009,9,September,11,Friday,2
502,2009-09-12,2009,9,September,12,Saturday,2
503,2009-09-13,2009,9,September,13,Sunday,2
504,2009-09-14,2009,9,September,14,Monday,2
505,2009-09-15,2009,9,September,15,Tuesday,2
506,2009-09-16,2009,9,September,16,Wednesday,2
507,2009-09-17,2009,9,September,17,Thursday,2
508,2009-09-18,2009,9,September,18,Friday,2
509,2009-09-19,2009,9,September,19,Saturday,2
510,2009-09-20,2009,9,September,20,Sunday,2
511,2009-09-21,2009,9,September,21,Monday,2
512,2009-09-22,2009,9,September,22,Tuesday,2
513,2009-09-23,2009,9,September,23,Wednesday,2
514,2009-09-24,2009,9,September,24,Thursday,2
515,2009-09-25,2009,9,September,25,Friday,2
516,2009-09-26,2009,9,September,26,Saturday,2
517,2009-09-27,2009,9,September,27,Sunday,2
518,2009-09-28,2009,9,September,28,Monday,2
519,2009-09-29,2009,9,September,29,Tuesday,2
520,2009-10-01,2009,10,October,1,Thursday,2
521,2009-10-02,2009,10,October,2,Friday,2
522,2009-10-03,2009,10,October,3,Saturday,2
523,2009-10-04,2009,10,October,4,Sunday,2
